Name,Rating,Ease of Prep,Notes,Type,Prep Time,Photo,Cookbook,Page #,Ingredients,Slowcooker,Link,Last Made,Make It Next
Jamaican Jerk Chicken,⭐⭐⭐⭐⭐,Average,Luke loved this one,Main Dish,30,,Taste From Home,,Chicken,,,12/8/2018,12/28/2018
Pasta Salad,⭐⭐⭐,Fairly Easy,Make night before,Salad,20,,Taste From Home,,"Kielbasa,Noodles",,,,#ERROR
Lasagna,⭐⭐⭐,Fairly Easy,Make night before,Main Dish,45,,Taste From Home,,"Sausage,Noodles",,,1/6/2019,2/22/2019
Hearty Pancakes,⭐⭐⭐⭐,Average,Makes enough for 2 days,Breakfast,20,Image 29 April 2017 07:50 AM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/7hwreaJtGrQ9DdKFAUzy1g/T4vJkHtzAb1hjnkiF2uZcH6x5OCgSJXuCCZAkie25ZGgH-k0GQgpxDYpyzkj_3NcKY0xwZ1n1rq5fntX-FxkvA/uWfbGmAPCsvz38-Z40s_VQf9n9PJl-pYPheTW9E_8Ho),Taste From Home,,"Milk,Eggs,Corn Meal",,,,#ERROR
Summer Garden Couscous Salad,⭐⭐⭐⭐,Hard,,Salad,30,Image 08 May 2017 07:00 PM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/gHHMaqQBYcA98UDdgJTkJQ/-LgAUPU_vWSkr0xzYSlMWByc_QzyfOobAFN1BwwNjR_74mo5zNZxslbgEiY9A4jzWP7aoYq4TbO-TWX2u0oAIg/oWWDT_b2hAT9LqkYuY2MHUGqs0Th9RqdjFLDfWImVAU),Taste of Home,287,Vegetarian,,,11/18/2018,12/18/2018
Squash Corn Chowder,⭐⭐,Hard,,Main Dish,45,Image 08 May 2017 07:06 PM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/RulwvVwczNOAHoYwZr0Bnw/xHhYnW3b6-t1vPoqGtL4yZGwdMQ4suYhaLcVF2ihEdjoYaQYv6n8SyhOkECWsB5xHJlmXLAWoFD7ikgc_J8LNg/R_KTk7l4XeoWRnrnnQ9eNyrM76HWaYxJWV2atfthaK0),Taste From Home,,"Vegetarian,Potatoes",,,5/8/2017,7/9/2017
"White beans, tomatoes, and spinach",⭐⭐⭐,Fairly Easy,Luke likes this one,Main Dish,30,Image 10 May 2017 07:14 PM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/IjJf0xXvZMouONk2fXU0yw/ninMJhFUc_7eMYf6RL9_CHOGFkiF97yEkA6vPO3MVpAAe2qfXHe7L2ubr1UbhbZtGepTWMaeE6suJ8lIJZMXmg/caW_hMNNe44plNT8iXN02-XGTEXs2TW3OWvypdZnwfk),Taste From Home,,"Rice,Vegetarian,Beans,Eggs",,,1/7/2019,2/23/2019
Spaghetti,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,15,,Taste From Home,,"Noodles,Marinara Sauce",,,6/4/2018,6/24/2018
Scones,⭐⭐⭐⭐⭐,Super Simple,Make dough night before,Baking Basics,45,Image 23 June 2017 11:21 AM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/X4BBavNpWjGsezhxL2scFQ/TEXNA56n4Pp058gDzBSug8GnInTTv8QtD5gLgRSEzeFlv5OcZGY0vJTOJ-NQYko0cAwHGjd13G1tT4LrY72anw/H2r-TK9AwR82ch3QFlMpbjUZbAQZwcqsRZdtqDNZ1WE),"Pinterest,Taste of Home",,,,,5/13/2017,6/2/2017
Pizza,⭐⭐⭐⭐⭐,Average,Use half whole wheat flour,Main Dish,120,Image 14 May 2017 02:11 PM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/zjUC7VXV0hSu0bOUOft7vw/McxDdAn3GAxOQ0tfsfbGK8DoBMY5cR3tVXzcoeZ2JmlLfIHRg0lHl0MjfdHIQUI5s90KymeBmwUt6YoUBLIM7Q/W-O5CCWT5Ft92_j-dVriYS6ulyh8NWtCFpIyQEI1F1M),Taste From Home,,"Sausage,Cheese",,,5/5/2017,5/25/2017
Stir-Fry,⭐⭐⭐⭐⭐,Fairly Easy,,Main Dish,25,,Taste of Home,4,"Chicken,Rice",,,2/5/2019,2/25/2019
Rustic Italian Tortellini Soup,⭐⭐⭐⭐,Hard,,Main Dish,30,,Taste of Home,62,"Sausage,Noodles,Cheese",,,6/18/2017,7/18/2017
Swedish Meatballs,⭐⭐⭐,Very Difficult,,Main Dish,90,,Taste of Home,110,"Beef,Noodles,Eggs",,,,#ERROR
Barley Beef Skillet,⭐⭐⭐⭐,Super Simple,,Main Dish,25,,Taste of Home,114,Beef,,,6/12/2017,7/12/2017
Southwest Beef & Rice Skillet,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,25,Image 23 June 2017 11:22 AM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/q0cRbsXGW8BI1q7kAuy3gg/33xpjMiiKXKWr6SwnxkHfMikXQDJNpdx2XftbK5tHmy6mytyezeouog0cOP7ldsS9boWlsYXCXvb0UaTDF3_Ng/v-ywyxkmzAEdPq3wZGRHNmbGD-XiogDChz3lEpp3LaA),Taste of Home,115,"Beef,Rice,Beans",,,7/29/2018,8/18/2018
Glazed Pork Chops with Corn Bread Dressing,⭐⭐⭐⭐,Average,,Main Dish,45,,Taste of Home,129,Pork,,,,#ERROR
Fried Rice,⭐⭐⭐⭐,Super Simple,,Main Dish,20,,Taste of Home,135,"Chicken,Eggs,Rice",,https://www.tasteofhome.com/recipes/mom-s-fried-rice,1/24/2019,2/23/2019
Zesty Sausage & Beans,⭐⭐⭐⭐⭐,Fairly Easy,,Main Dish,45,,Taste of Home,141,"Sausage,Beans,Rice",checked,,6/16/2017,7/6/2017
Prosciutto Pasta Toss,⭐⭐,Fairly Easy,,Main Dish,30,,Taste of Home,146,"Noodles,Ham",,,,#ERROR
Cashew Chicken with Noodles,⭐⭐⭐⭐⭐,Average,,Main Dish,20,,Taste of Home,175,"Noodles,Chicken",,,,#ERROR
Herb Chicken with Honey Butter,⭐⭐⭐,Average,,Main Dish,30,Image 23 May 2017 05:26 PM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/MS8JMyy69qspzHc2WyIP2w/zi0bpEFNu52rizbq3FHPJ6ckukk5ZyGg5S-0utBu9Ne5AnE3rSA1euhGrCXbLqJhDeuPJZX3w7tF8cZQ79NZSA/NTlojXnklIsMDTgImwFJd-SNEMjgNkufPvBUyugp8vc),Taste of Home,176,Chicken,,,5/23/2017,7/9/2017
French Toast,⭐⭐⭐⭐,Super Simple,,Breakfast,10,,Taste of Home,245,Eggs,,,,#ERROR
Swedish Pancakes,⭐⭐⭐⭐,Fairly Easy,,Breakfast,20,,Taste of Home,245,"Milk,Eggs",,,,#ERROR
Baked Cheddar Eggs & Potatoes,⭐⭐⭐⭐⭐,Fairly Easy,Add bacon,Main Dish,45,Image 20 May 2017 07:52 PM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/lVZsI5PmuNv3MwLscH7j5g/kRMz9YdyWUmLkbVMjTZo7k-sZ0TU8YjU_OYlD0bGhTQ4e6LeLHQKkEmwfwk2NOMqW2wG0PXjjLMmaTGGfJr4eg/kXaR7S-TKaOiozCtClP75Q3cGJXdsi5zI18q0_MuwRI),Taste of Home,277,"Potatoes,Bacon,Cheese,Eggs",,,11/24/2018,12/14/2018
Baked Mostaccioli,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,90,,Taste of Home,284,"Noodles,Marinara Sauce,Cheese,Sausage",,,,#ERROR
Ravioli with Snap Peas,⭐⭐⭐⭐,Hard,,Main Dish,40,,Taste of Home,286,"Noodles,Milk,Cheese",,,7/23/2018,8/22/2018
Cloverleaf Rolls,⭐⭐⭐,Fairly Easy,,Side Dish,30,,Taste From Home,,Milk,,,,#ERROR
Greek Yogurt and Honey Blueberry Muffins,⭐⭐⭐⭐,Average,,Breakfast,30,,Taste From Home,,"Eggs,Milk",,,,#ERROR
Whole Grain Waffles,⭐⭐⭐⭐⭐,Super Simple,,Breakfast,25,,Taste From Home,,"Eggs,Milk",,,,#ERROR
Lemon Bars,⭐⭐⭐,Fairly Easy,,Dessert,60,,Taste From Home,,,,,,#ERROR
Qahaq Cookies,⭐⭐,Average,,Dessert,30,,Taste From Home,,,,,,#ERROR
Blondies with Nutella,⭐⭐,Hard,,Dessert,90,,Taste From Home,,,,,,#ERROR
Hot Chocolate,⭐⭐⭐⭐⭐,Super Simple,,Dessert,10,,Taste From Home,,Milk,,,,#ERROR
Chocolate Mousse,⭐⭐⭐⭐,Hard,Whisk on stove until thick,Dessert,30,Image 23 June 2017 10:40 AM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/gqxntpc1CYFxJ4oBiL0jVQ/wuF9sNghc8HaOBxyHM1YfPtkRVq97pLBmZzoX2yTVGsvQ9oEqkY7WRqICv_7tgO1MY08SzaDpin9-qxhY4znng/DuaUvXxUKoNYnDhwPveiIrkrpWK6ot9m1zlb9pTVEqg),Taste From Home,,Eggs,,,,#ERROR
S'mores Cookie Bars,⭐⭐⭐⭐,Hard,,Dessert,45,,Taste From Home,,,,,,#ERROR
Orange Chicken,⭐⭐⭐⭐,Fairly Easy,,Main Dish,40,,Taste From Home,,"Chicken,Rice",,,,#ERROR
Tostadas,⭐⭐⭐,Super Simple,,Main Dish,20,,Taste From Home,,"Chicken,Cheese",,,,#ERROR
Black Bean Stuffed Sweet Potatoes,⭐,Fairly Easy,,Main Dish,20,,Taste From Home,,"Beans,Cheese",,,,#ERROR
Asian Shredded Beef,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,30,Image 23 June 2017 11:19 AM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/0PJj7RP-xTnp25vNmi96Ig/HC695wKPcrry-gPHmgeaO8-pWYYOdVayqHSE9Xv7jqTM_pNJ-X_fZEVo4eQuyhFV9h3hAUBkpqsVBZ-8hR1pSw/BuKn_Aj8BOAqg6TP6-BuBr3a2UNXhIKn3Vup7_NFFOM),Taste From Home,,"Beef,Noodles",checked,,,#ERROR
"Capellini with sausage, spinach, and jalapeno",⭐⭐⭐⭐,Fairly Easy,,Main Dish,40,,Taste From Home,,"Sausage,Noodles",,,10/8/2018,11/7/2018
Crispy Chicken with Kale,⭐⭐,Fairly Easy,,Main Dish,45,,Taste From Home,,Chicken,,,,#ERROR
Roast Chicken Grain Bowl,⭐,Average,,Main Dish,60,,Taste From Home,,Chicken,,,,#ERROR
Chicken thighs with barley and peas,⭐⭐,Fairly Easy,,Main Dish,60,,Taste From Home,,Chicken,,,12/27/2018,2/27/2019
Rice noodles with meatballs and bok choy,⭐⭐⭐⭐,Hard,,Main Dish,45,,Taste From Home,,"Beef,Noodles",,,,#ERROR
Paprika Pork with Roasted Potatoes and Dill Cream,⭐⭐⭐,Fairly Easy,,Main Dish,60,,Taste From Home,,"Pork,Potatoes",,,,#ERROR
Chicken cutlets with carrot and kale salad,⭐⭐⭐,Average,,Main Dish,30,,Taste From Home,,Chicken,,,,#ERROR
Gnocchi and sweet potatoes,⭐⭐⭐,Fairly Easy,,Main Dish,20,,Taste From Home,,,,,,#ERROR
Shepherd's Pie,⭐⭐⭐⭐,Hard,,Main Dish,60,,Taste From Home,,"Beef,Potatoes",,,,#ERROR
Garlic Parmesan Chicken,⭐⭐,Super Simple,,Main Dish,45,,Taste From Home,,"Chicken,Rice",,,,#ERROR
Turkey Pot Pie,⭐⭐⭐,Fairly Easy,,Main Dish,60,,Taste From Home,,Turkey,,,,#ERROR
Balsamic Bacon Brussels Sprouts,⭐⭐⭐,Fairly Easy,,Side Dish,40,,Taste From Home,,Bacon,,,11/10/2018,12/27/2018
Lemon Red Potatoes,⭐⭐,Super Simple,,Side Dish,150,,Taste From Home,,Potatoes,,,,#ERROR
Potato and Corn Chowder,⭐⭐⭐,Super Simple,,Main Dish,20,,Taste From Home,,"Potatoes,Milk,Cheese",,,,#ERROR
Thai Chicken,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,30,Image 22 May 2017 06:55 PM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/a37oQJxRoteBnTBvfZeGcg/XN0M7NsPYMoSf_L-q-WEmOVBrE7cYQEnAiRs4jZ8OnN6zIvcRHzZfCaEKH_FpqQE-mVsxhooOaxiKmimbcIR8g/Jk6NRMz0LoqhGn-P4A_jd5mzjY9jAP3DORZ7c9Jse-0),,,"Chicken,Noodles,Eggs",,,5/22/2017,6/11/2017
Italian Fagoli Vegetable Soup,⭐⭐⭐⭐,Fairly Easy,I added pasta to make it heartier,Main Dish,45,Image 30 May 2017 05:01 PM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/nq7Y5RXETKecBLEIueXxZg/lxmgQ5StsoIMyjoFUCRXXyB3wNcEdpJ5t0M-uJrAld1si_RPbphJwrnZqfW-lLtyYOB2Opn2kWBE-K1-P3bqcw/oozxuh2qekXNKDQP25MoMegXYxYGdvm1gdvUZi6sCTA),Taste From Home,,"Vegetarian,Beans,Noodles",,,5/30/2017,6/29/2017
Blueberry Pie,⭐⭐⭐⭐⭐,Fairly Easy,,Dessert,120,Image 23 June 2017 10:41 AM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/e3aa25DVEUV5GOuhwrXDew/HRWO0JIwoD3bvomnZfHtyV4a0svrUn11sk2S1OsB7nTMUIkxbhJ_P8kqLU1i6KUl0_X_39aKXABI06CrrZ5mWA/pbR10gPZxFuVSnVKJ6V0Vwyg55_nDJt_JuzAF_2wQdo),,,,,,6/19/2017,7/9/2017
Chocolate Pudding,⭐⭐⭐⭐,Fairly Easy,,Dessert,30,,,,,,,6/21/2017,7/21/2017
Browned Butter Beets,⭐⭐⭐⭐⭐,Hard,Roast longer than you think,Side Dish,120,Image 23 June 2017 10:46 AM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/LQmKDNLintGhyROO8mpYZw/sD5_NngltXIFIWGUIWL-1G_8snZgQQkXp754666RV9mnHD2wXKXWLqmt4e1ErkAihuPHv5e105-JZQSVYMMzwA/7N93sYq0X4uWFH490f0yhgJu53WvoWu6_dSN97tu4M8),Taste From Home,,"Beets,Breadcrumbs",,,6/4/2017,6/24/2017
Turkey Soup with Homemade Noodles,⭐⭐⭐⭐,Average,,Main Dish,120,Image 23 June 2017 11:22 AM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/1Ff6tgZ0U_baMUAFv8Sd8g/2jHuDpNOKTw1Mi-zvldy5WE-wNLOrtqlIhcT2UN1PfFoW-jU1asMOnwu84vIs65TLP6kztpVB70dWfV-FN_uaQ/U0zUbzH9M0bcbsZYInUvADEOfek8GsQgJa__wZGaNUU),,,"Turkey,Noodles",,,11/17/2016,12/17/2016
Home fries,⭐⭐⭐⭐⭐,Super Simple,,Side Dish,45,Image 23 June 2017 11:27 AM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/bhD7UltgHlkk-cXfxfxVsQ/uGkmjY4FsOP2QkpUQXGS7z0QsqlYPqnyUIygqoaIFHVaGwnPPcaZKJCUEocfEeNPGNrWkvQb82su6c3EXBmXwg/jpBbEb1bhVvSWprn7rk1KUH_07XXhe7TX8HhgPUgA1I),,,Potatoes,,,,#ERROR
Chocolate Raspberry Torte,⭐⭐⭐⭐⭐,Hard,So good,Dessert,60,Image 23 June 2017 11:28 AM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/zA8kRlAdqSEqEOZXv6MTOQ/dDliLNtj9A3mm2xLV_Wl-Fg5lwy4RryrNOVDBAHz2UNMDcVID341XYanpnFPrfYGvucmDo2dD1tiqWc0yvTL2Q/OIZSHbsrTjl0Vrop7nuvCTvupkc0DkOASF2fHqIpNNY),,,"Eggs,Milk",,,10/11/2016,10/31/2016
Golden Latte,⭐⭐⭐⭐⭐,Super Simple,,Drink,20,Image 23 June 2017 11:31 AM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/adma2QIuvXICHtb8c-EeEg/jEPfkZM6v_8UyDKZKwen5cdGfctud-MqtAg9lfaL65Kp4clInMYiWUdWJBIEOfgyyFxiGNlYi5e88q3jM33Xfg/ir6M_RiMhVM7PBLn_BFt3G71GSLnx9x6H5kp8fcCBws),Taste of Home,,Milk,,,,#ERROR
Fig Shake,⭐⭐⭐⭐,Fairly Easy,,Drink,10,Image 25 June 2017 10:12 AM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/CYN8VWuF64NMdylTeKk4kw/pZTVlHfBjadizB-T4O13hsYQ1aAgpu0VJX4FOydXL0-Gf4L8qRUUtOoyxxjCm3SS5_AdBL-q7xlyH4OohzvZRQ/fVLoyLUSRo6v_Exvsi7Hpba7PKI8iTxlO7lMZiUxvCo),,,Milk,,,,#ERROR
Lentil Soup,⭐⭐⭐,Average,Double it next time,Main Dish,60,,Pinterest,,"Lentils,Vegetarian,Carrots,Onion",,http://www.recipetineats.com/lentil-soup/,8/27/2017,10/13/2017
Buckwheat Tabboulah,⭐,Super Simple,Use more buckwheat,Main Dish,30,,Pinterest,,"Buckwheat,Vegetarian,Carrots,Onion",,http://rawmanda.com/buckwheat-tabbouleh/,8/26/2017,11/7/2017
Lentil Rice Bowls with Egg,⭐⭐⭐⭐,Fairly Easy,Add rice in after 15 minutes and use more water,Main Dish,60,IMG_20170828_182603.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/YFt1XAGP1LdC_izNBgDj5A/6riSVHNOju_0dpwYO_JyA2zpzvvdB55iUxv-CMUsVroaQHwQ0w-s4FQGpQ2KPwJ1/mjfiOnHKvHn2Zbo-Ww-IkkUEhKgsu_uoCQn7YuAvIfA),Pinterest,,"Rice,Lentils,Onion",,https://www.thekitchn.com/recipe-brown-rice-bowl-with-lentils-caramelized-onions-fried-egg-223112,1/5/2019,2/4/2019
Italian Vegetable Lentil Soup,⭐⭐⭐⭐,Fairly Easy,,Main Dish,60,IMG_20170902_192742.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/cylJ0jnCYUaKsJUQ5cZ8Xw/STjNHajKyT3HbuoTj6OEU-4euFCP9pBrOhHYLY6XsbE4Gf4B--9T8OHvL5jy8hjA/qgsX04xHZJN2c8ubr0_Drk6o51AXn_SQZu4s8J3heao),Pinterest,,"Lentils,Onion,Vegetarian",,http://www.cookingclassy.com/italian-vegetable-lentil-soup/,6/26/2018,7/26/2018
